Hispanic_Origin	Race	Year	ICD10.130.Infants	ICD10.Code	Deaths	Population	Crude_Rate
Not Hispanic or Latino	Black or African American	2001	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	54	602743	9
Not Hispanic or Latino	Black or African American	2001	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	139	602743	23.1
Not Hispanic or Latino	Black or African American	2001	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	99	602743	16.4
Not Hispanic or Latino	Black or African American	2001	#Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59)	GR130-112	3	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	#Hematological disorders (P60-P61)	GR130-113	37	602743	6.1
Not Hispanic or Latino	Black or African American	2001	#Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2)	GR130-114	4	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	#Necrotizing enterocolitis of newborn (P77)	GR130-115	137	602743	22.7
Not Hispanic or Latino	Black or African American	2001	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	16	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	389	602743	64.5
Not Hispanic or Latino	Black or African American	2001	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	999	602743	165.7
Not Hispanic or Latino	Black or African American	2001	Anencephaly and similar malformations (Q00)	GR130-119	31	602743	5.1
Not Hispanic or Latino	Black or African American	2001	Congenital hydrocephalus (Q03)	GR130-120	21	602743	3.5
Not Hispanic or Latino	Black or African American	2001	Spina bifida (Q05)	GR130-121	3	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	48	602743	8
Not Hispanic or Latino	Black or African American	2001	Congenital malformations of heart (Q20-Q24)	GR130-123	304	602743	50.4
Not Hispanic or Latino	Black or African American	2001	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	37	602743	6.1
Not Hispanic or Latino	Black or African American	2001	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	124	602743	20.6
Not Hispanic or Latino	Black or African American	2001	Congenital malformations of digestive system (Q35-Q45)	GR130-126	18	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	62	602743	10.3
Not Hispanic or Latino	Black or African American	2001	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	93	602743	15.4
Not Hispanic or Latino	Black or African American	2001	Down's syndrome (Q90)	GR130-129	15	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Edward's syndrome (Q91.0-Q91.3)	GR130-130	72	602743	11.9
Not Hispanic or Latino	Black or African American	2001	Patau's syndrome (Q91.4-Q91.7)	GR130-131	43	602743	7.1
Not Hispanic or Latino	Black or African American	2001	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	94	602743	15.6
Not Hispanic or Latino	Black or African American	2001	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	34	602743	5.6
Not Hispanic or Latino	Black or African American	2001	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	1081	602743	179.3
Not Hispanic or Latino	Black or African American	2001	#Sudden infant death syndrome (R95)	GR130-135	731	602743	121.3
Not Hispanic or Latino	Black or African American	2001	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	350	602743	58.1
Not Hispanic or Latino	Black or African American	2001	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	5	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"External causes of mortality (*U01,V01-Y84)"	GR130-138	436	602743	72.3
Not Hispanic or Latino	Black or African American	2001	#Accidents (unintentional injuries) (V01-X59)	GR130-139	272	602743	45.1
Not Hispanic or Latino	Black or African American	2001	Transport accidents (V01-V99)	GR130-140	18	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	18	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Falls (W00-W19)	GR130-143	6	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Accidental drowning and submersion (W65-W74)	GR130-145	11	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Accidental suffocation and strangulation in bed (W75)	GR130-146	126	602743	20.9
Not Hispanic or Latino	Black or African American	2001	"Other accidental suffocation and strangulation (W76-W77,W81-W84)"	GR130-147	60	602743	10
Not Hispanic or Latino	Black or African American	2001	Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80)	GR130-148	19	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Accidents caused by exposure to smoke, fire and flames (X00-X09)"	GR130-149	14	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Accidental poisoning and exposure to noxious substances (X40-X49)	GR130-150	6	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)"	GR130-151	12	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	119	602743	19.7
Not Hispanic or Latino	Black or African American	2001	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	14	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	GR130-154	2	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)"	GR130-155	43	602743	7.1
Not Hispanic or Latino	Black or African American	2001	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	60	602743	10
Not Hispanic or Latino	Black or African American	2001	#Complications of medical and surgical care (Y40-Y84)	GR130-157	9	602743	Unreliable
Not Hispanic or Latino	Black or African American	2001	Other external causes (Y10-Y36)	GR130-158	36	602743	6
Not Hispanic or Latino	Black or African American	2002	Certain infectious and parasitic diseases (A00-B99)	GR130-001	159	587636	27.1
Not Hispanic or Latino	Black or African American	2002	Certain intestinal infectious diseases (A00-A08)	GR130-002	5	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Diarrhea and gastroenteritis of infectious origin (A09)	GR130-003	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Whooping cough (A37)	GR130-007	2	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Meningococcal infection (A39)	GR130-008	3	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Septicemia (A40-A41)	GR130-009	85	587636	14.5
Not Hispanic or Latino	Black or African American	2002	#Congenital syphilis (A50)	GR130-010	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Gonococcal infection (A54)	GR130-011	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Viral diseases (A80-B34)	GR130-012	38	587636	6.5
Not Hispanic or Latino	Black or African American	2002	#Human immunodeficiency virus (HIV) disease (B20-B24)	GR130-016	3	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"	GR130-018	35	587636	6
Not Hispanic or Latino	Black or African American	2002	#Candidiasis (B37)	GR130-019	5	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)"	GR130-022	18	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Neoplasms (C00-D48)	GR130-023	21	587636	3.6
Not Hispanic or Latino	Black or African American	2002	#Malignant neoplasms (C00-C97)	GR130-024	12	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Hodgkin's disease and non-Hodgkin's lymphomas (C81-C85)	GR130-025	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Leukemia (C91-C95)	GR130-026	4	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	7	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	9	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	16	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Anemias (D50-D64)	GR130-030	5	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	8	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Certain disorders involving the immune mechanism (D80-D89)	GR130-032	3	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	54	587636	9.2
Not Hispanic or Latino	Black or African American	2002	"#Short stature, not elsewhere classified (E34.3)"	GR130-034	2	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Cystic fibrosis (E84)	GR130-036	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	23	587636	3.9
Not Hispanic or Latino	Black or African American	2002	"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)"	GR130-038	28	587636	4.8
Not Hispanic or Latino	Black or African American	2002	Diseases of the nervous system (G00-G98)	GR130-039	78	587636	13.3
Not Hispanic or Latino	Black or African American	2002	"#Meningitis (G00,G03)"	GR130-040	20	587636	3.4
Not Hispanic or Latino	Black or African American	2002	"#Infantile spinal muscular atrophy, type I (Werdnig-Hoffman) (G12.0)"	GR130-041	2	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Infantile cerebral palsy (G80)	GR130-042	3	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"#Anoxic brain damage, not elsewhere classified (G93.1)"	GR130-043	16	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	37	587636	6.3
Not Hispanic or Latino	Black or African American	2002	#Diseases of the ear and mastoid process (H60-H93)	GR130-045	3	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Diseases of the circulatory system (I00-I99)	GR130-046	190	587636	32.3
Not Hispanic or Latino	Black or African American	2002	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	55	587636	9.4
Not Hispanic or Latino	Black or African American	2002	"Pericarditis, endocarditis and myocarditis (I30,I33,I40)"	GR130-048	10	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Cardiomyopathy (I42)	GR130-049	22	587636	3.7
Not Hispanic or Latino	Black or African American	2002	Cardiac arrest (I46)	GR130-050	9	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Cerebrovascular diseases (I60-I69)	GR130-051	36	587636	6.1
Not Hispanic or Latino	Black or African American	2002	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	58	587636	9.9
Not Hispanic or Latino	Black or African American	2002	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	228	587636	38.8
Not Hispanic or Latino	Black or African American	2002	#Acute upper respiratory infections (J00-J06)	GR130-054	4	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Influenza and pneumonia (J09-J18)	GR130-055	86	587636	14.6
Not Hispanic or Latino	Black or African American	2002	Influenza (J09-J11)	GR130-056	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Pneumonia (J12-J18)	GR130-057	85	587636	14.5
Not Hispanic or Latino	Black or African American	2002	#Acute bronchitis and acute bronchiolitis (J20-J21)	GR130-058	15	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"#Bronchitis, chronic and unspecified (J40-J42)"	GR130-059	8	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Asthma (J45-J46)	GR130-060	2	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	113	587636	19.2
Not Hispanic or Latino	Black or African American	2002	Diseases of the digestive system (K00-K92)	GR130-063	170	587636	28.9
Not Hispanic or Latino	Black or African American	2002	"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)"	GR130-064	101	587636	17.2
Not Hispanic or Latino	Black or African American	2002	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	15	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	54	587636	9.2
Not Hispanic or Latino	Black or African American	2002	Diseases of the genitourinary system (N00-N95)	GR130-067	56	587636	9.5
Not Hispanic or Latino	Black or African American	2002	"#Renal failure and other disorders of kidney (N17-N19,N25,N27)"	GR130-068	52	587636	8.8
Not Hispanic or Latino	Black or African American	2002	"Other and unspecified diseases of genitourinary system (N00-N15,N20-N23,N26,N28-N95)"	GR130-069	4	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Certain conditions originating in the perinatal period (P00-P96)	GR130-070	4735	587636	805.8
Not Hispanic or Latino	Black or African American	2002	"Newborn affected by maternal factors and by complications of pregnancy, labor and delivery (P00-P04)"	GR130-071	993	587636	169
Not Hispanic or Latino	Black or African American	2002	#Newborn affected by maternal hypertensive disorders (P00.0)	GR130-072	30	587636	5.1
Not Hispanic or Latino	Black or African American	2002	#Newborn affected by other maternal conditions which may be unrelated to present pregnancy (P00.1-P00.9)	GR130-073	26	587636	4.4
Not Hispanic or Latino	Black or African American	2002	#Newborn affected by maternal complications of pregnancy (P01)	GR130-074	558	587636	95
Not Hispanic or Latino	Black or African American	2002	Newborn affected by incompetent cervix (P01.0)	GR130-075	164	587636	27.9
Not Hispanic or Latino	Black or African American	2002	Newborn affected by premature rupture of membranes (P01.1)	GR130-076	262	587636	44.6
Not Hispanic or Latino	Black or African American	2002	Newborn affected by multiple pregnancy (P01.5)	GR130-077	80	587636	13.6
Not Hispanic or Latino	Black or African American	2002	"Newborn affected by other maternal complications of pregnancy (P01.2-P01.4,P01.6-P01.9)"	GR130-078	52	587636	8.8
Not Hispanic or Latino	Black or African American	2002	"#Newborn affected by complications of placenta, cord and membranes (P02)"	GR130-079	319	587636	54.3
Not Hispanic or Latino	Black or African American	2002	Newborn affected by complications involving placenta (P02.0-P02.3)	GR130-080	135	587636	23
Not Hispanic or Latino	Black or African American	2002	Newborn affected by complications involving cord (P02.4-P02.6)	GR130-081	17	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Newborn affected by chorioamnionitis (P02.7)	GR130-082	167	587636	28.4
Not Hispanic or Latino	Black or African American	2002	#Newborn affected by other complications of labor and delivery (P03)	GR130-084	40	587636	6.8
Not Hispanic or Latino	Black or African American	2002	#Newborn affected by noxious influences transmitted via placenta or breast milk (P04)	GR130-085	20	587636	3.4
Not Hispanic or Latino	Black or African American	2002	Disorders related to length of gestation and fetal malnutrition (P05-P08)	GR130-086	1837	587636	312.6
Not Hispanic or Latino	Black or African American	2002	#Slow fetal growth and fetal malnutrition (P05)	GR130-087	18	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"#Disorders related to short gestation and low birth weight, not elsewhere classified (P07)"	GR130-088	1819	587636	309.5
Not Hispanic or Latino	Black or African American	2002	"Extremely low birth weight or extreme immaturity (P07.0,P07.2)"	GR130-089	1409	587636	239.8
Not Hispanic or Latino	Black or African American	2002	"Other low birth weight or preterm (P07.1,P07.3)"	GR130-090	410	587636	69.8
Not Hispanic or Latino	Black or African American	2002	#Birth trauma (P10-P15)	GR130-092	84	587636	14.3
Not Hispanic or Latino	Black or African American	2002	#Intrauterine hypoxia and birth asphyxia (P20-P21)	GR130-093	145	587636	24.7
Not Hispanic or Latino	Black or African American	2002	Intrauterine hypoxia (P20)	GR130-094	26	587636	4.4
Not Hispanic or Latino	Black or African American	2002	Birth asphyxia (P21)	GR130-095	119	587636	20.3
Not Hispanic or Latino	Black or African American	2002	#Respiratory distress of newborn (P22)	GR130-096	326	587636	55.5
Not Hispanic or Latino	Black or African American	2002	Other respiratory conditions originating in the perinatal period (P23-P28)	GR130-097	395	587636	67.2
Not Hispanic or Latino	Black or African American	2002	#Congenital pneumonia (P23)	GR130-098	20	587636	3.4
Not Hispanic or Latino	Black or African American	2002	#Neonatal aspiration syndromes (P24)	GR130-099	15	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Interstitial emphysema and related conditions originating in the perinatal period (P25)	GR130-100	43	587636	7.3
Not Hispanic or Latino	Black or African American	2002	#Pulmonary hemorrhage originating in the perinatal period (P26)	GR130-101	62	587636	10.6
Not Hispanic or Latino	Black or African American	2002	#Chronic respiratory disease originating in the perinatal period (P27)	GR130-102	122	587636	20.8
Not Hispanic or Latino	Black or African American	2002	#Atelectasis (P28.0-P28.1)	GR130-103	120	587636	20.4
Not Hispanic or Latino	Black or African American	2002	All other respiratory conditions originating in the perinatal period (P28.2-P28.9)	GR130-104	13	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Infections specific to the perinatal period (P35-P39)	GR130-105	292	587636	49.7
Not Hispanic or Latino	Black or African American	2002	#Bacterial sepsis of newborn (P36)	GR130-106	231	587636	39.3
Not Hispanic or Latino	Black or African American	2002	"All other infections specific to the perinatal period (P35,P37,P39)"	GR130-108	61	587636	10.4
Not Hispanic or Latino	Black or African American	2002	Hemorrhagic and hematological disorders of newborn (P50-P61)	GR130-109	137	587636	23.3
Not Hispanic or Latino	Black or African American	2002	"#Neonatal hemorrhage (P50-P52,P54)"	GR130-110	98	587636	16.7
Not Hispanic or Latino	Black or African American	2002	#Hemolytic disease of newborn due to isoimmunization and other perinatal jaundice (P55-P59)	GR130-112	8	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Hematological disorders (P60-P61)	GR130-113	31	587636	5.3
Not Hispanic or Latino	Black or African American	2002	#Syndrome of infant of a diabetic mother and neonatal diabetes mellitus (P70.0-P70.2)	GR130-114	4	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	#Necrotizing enterocolitis of newborn (P77)	GR130-115	132	587636	22.5
Not Hispanic or Latino	Black or African American	2002	#Hydrops fetalis not due to hemolytic disease (P83.2)	GR130-116	14	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other perinatal conditions (P29,P70.3-P70.9,P71-P76,P78-P81,P83.0-P83.1,P83.3-P83.9,P90-P96)"	GR130-117	376	587636	64
Not Hispanic or Latino	Black or African American	2002	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	GR130-118	1015	587636	172.7
Not Hispanic or Latino	Black or African American	2002	Anencephaly and similar malformations (Q00)	GR130-119	39	587636	6.6
Not Hispanic or Latino	Black or African American	2002	Congenital hydrocephalus (Q03)	GR130-120	20	587636	3.4
Not Hispanic or Latino	Black or African American	2002	Spina bifida (Q05)	GR130-121	4	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)"	GR130-122	45	587636	7.7
Not Hispanic or Latino	Black or African American	2002	Congenital malformations of heart (Q20-Q24)	GR130-123	293	587636	49.9
Not Hispanic or Latino	Black or African American	2002	Other congenital malformations of circulatory system (Q25-Q28)	GR130-124	49	587636	8.3
Not Hispanic or Latino	Black or African American	2002	Congenital malformations of respiratory system (Q30-Q34)	GR130-125	149	587636	25.4
Not Hispanic or Latino	Black or African American	2002	Congenital malformations of digestive system (Q35-Q45)	GR130-126	25	587636	4.3
Not Hispanic or Latino	Black or African American	2002	Congenital malformations of genitourinary system (Q50-Q64)	GR130-127	40	587636	6.8
Not Hispanic or Latino	Black or African American	2002	"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)"	GR130-128	71	587636	12.1
Not Hispanic or Latino	Black or African American	2002	Down's syndrome (Q90)	GR130-129	16	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Edward's syndrome (Q91.0-Q91.3)	GR130-130	87	587636	14.8
Not Hispanic or Latino	Black or African American	2002	Patau's syndrome (Q91.4-Q91.7)	GR130-131	40	587636	6.8
Not Hispanic or Latino	Black or African American	2002	"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)"	GR130-132	104	587636	17.7
Not Hispanic or Latino	Black or African American	2002	"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)"	GR130-133	33	587636	5.6
Not Hispanic or Latino	Black or African American	2002	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	GR130-134	1070	587636	182.1
Not Hispanic or Latino	Black or African American	2002	#Sudden infant death syndrome (R95)	GR130-135	689	587636	117.2
Not Hispanic or Latino	Black or African American	2002	"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)"	GR130-136	381	587636	64.8
Not Hispanic or Latino	Black or African American	2002	"All other diseases (F00-F99,H00-H57,L00-M99)"	GR130-137	7	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"External causes of mortality (*U01,V01-Y84)"	GR130-138	482	587636	82
Not Hispanic or Latino	Black or African American	2002	#Accidents (unintentional injuries) (V01-X59)	GR130-139	324	587636	55.1
Not Hispanic or Latino	Black or African American	2002	Transport accidents (V01-V99)	GR130-140	36	587636	6.1
Not Hispanic or Latino	Black or African American	2002	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	GR130-141	35	587636	6
Not Hispanic or Latino	Black or African American	2002	"Other and unspecified transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9,V90-V99)"	GR130-142	1	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Falls (W00-W19)	GR130-143	3	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Accidental drowning and submersion (W65-W74)	GR130-145	10	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Accidental suffocation and strangulation in bed (W75)	GR130-146	164	587636	27.9
Not Hispanic or Latino	Black or African American	2002	"Other accidental suffocation and strangulation (W76-W77,W81-W84)"	GR130-147	57	587636	9.7
Not Hispanic or Latino	Black or African American	2002	Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80)	GR130-148	16	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Accidents caused by exposure to smoke, fire and flames (X00-X09)"	GR130-149	13	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Accidental poisoning and exposure to noxious substances (X40-X49)	GR130-150	12	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)"	GR130-151	13	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"#Assault (homicide) (*U01,X85-Y09)"	GR130-152	114	587636	19.4
Not Hispanic or Latino	Black or African American	2002	"Assault (homicide) by hanging, strangulation and suffocation (X91)"	GR130-153	7	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	GR130-154	6	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)"	GR130-155	37	587636	6.3
Not Hispanic or Latino	Black or African American	2002	"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)"	GR130-156	64	587636	10.9
Not Hispanic or Latino	Black or African American	2002	#Complications of medical and surgical care (Y40-Y84)	GR130-157	7	587636	Unreliable
Not Hispanic or Latino	Black or African American	2002	Other external causes (Y10-Y36)	GR130-158	37	587636	6.3
Not Hispanic or Latino	Black or African American	2003	Certain infectious and parasitic diseases (A00-B99)	GR130-001	182	577488	31.5
Not Hispanic or Latino	Black or African American	2003	Certain intestinal infectious diseases (A00-A08)	GR130-002	6	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	#Diarrhea and gastroenteritis of infectious origin (A09)	GR130-003	1	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	#Septicemia (A40-A41)	GR130-009	119	577488	20.6
Not Hispanic or Latino	Black or African American	2003	Viral diseases (A80-B34)	GR130-012	33	577488	5.7
Not Hispanic or Latino	Black or African American	2003	#Human immunodeficiency virus (HIV) disease (B20-B24)	GR130-016	3	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"	GR130-018	30	577488	5.2
Not Hispanic or Latino	Black or African American	2003	#Candidiasis (B37)	GR130-019	8	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	"All other and unspecified infectious and parasitic diseases (A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99)"	GR130-022	15	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	Neoplasms (C00-D48)	GR130-023	18	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	#Malignant neoplasms (C00-C97)	GR130-024	7	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	Leukemia (C91-C95)	GR130-026	1	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	6	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	11	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	19	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	Anemias (D50-D64)	GR130-030	6	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	9	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	Certain disorders involving the immune mechanism (D80-D89)	GR130-032	4	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	63	577488	10.9
Not Hispanic or Latino	Black or African American	2003	"#Short stature, not elsewhere classified (E34.3)"	GR130-034	5	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	#Nutritional deficiencies (E40-E64)	GR130-035	3	577488	Unreliable
Not Hispanic or Latino	Black or African American	2003	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	30	577488	5.2
